Train #,Speed,Constant Velocity (micrometers / s),Constant Velocity (mm / s),Time (micro s),Time (s),Stopping Distance (mm),
2,5,234384,234.384,3357318,3.357318,258.0983779,
2,6,289107,289.107,2412094,2.412094,347.6467399,
2,7,351962,351.962,1677220,1.67722,454.6822944,
2,8,407777,407.777,1308262,1.308262,511.5208464,
2,9,467652,467.652,975450,0.97545,588.8288566,
2,10,525828,525.828,702890,0.70289,675.4007571,
2,11,587715,587.715,481722,0.481722,761.8847548,
2,12,644094,644.094,294354,0.294354,855.4083547,
2,13,696437,696.437,116751,0.116751,963.6902838,
2,14,698237,698.237,100606,0.100606,974.7531684,
,,,,,,,
47,5,252000,252,3223060,3.22306,232.78888,
47,6,311052,311.052,2335618,2.335618,318.5013499,
47,7,374823,374.823,1664803,1.664803,420.9935451,
47,8,417928,417.928,1327184,1.327184,490.3326452,
47,9,471575,471.575,1051466,1.051466,549.1549211,
47,10,515831,515.831,833532,0.833532,615.0383549,
47,11,574304,574.304,596049,0.596049,702.6866751,
47,12,628132,628.132,405353,0.405353,790.3848094,
47,13,669103,669.103,269778,0.269778,864.4907309,
47,14,676084,676.084,241616,0.241616,881.6472883,
,,,,,,,
58,5,86116,86.116,11648448,11.648448,41.88225203,
58,6,120700,120.7,7883294,7.883294,93.4864142,
58,7,171304,171.304,5144519,5.144519,163.7233172,
58,8,191375,191.375,3586445,3.586445,358.6440881,
58,9,296093,296.093,2452540,2.45254,318.8200738,
58,10,357307,357.307,1968744,1.968744,341.5539876,
58,11,438017,438.017,1271511,1.271511,488.0565663,
58,12,509925,509.925,664676,0.664676,706.0650907,
58,13,588665,588.665,151762,0.151762,955.6630223,
58,14,626222,626.222,0,0,1245,this one need to test
,,,0,,0,1045,
77,5,129436,129.436,9815528,9.815528,150.5173178,
77,6,168727,168.727,7031678,7.031678,234.5660661,
77,7,221450,221.45,5038048,5.038048,305.3242704,
77,8,277593,277.593,3490681,3.490681,452.0113892,
77,9,335370,335.37,2435983,2.435983,604.0443813,
77,10,403211,403.211,2464417,2.464417,427.319957,
77,11,472842,472.842,1358633,1.358633,778.581255,
77,12,543691,543.691,697387,0.697387,1041.836965,
77,13,617682,617.682,81918,0.081918,1370.400726,
77,14,658229,658.229,,0,1500,this one need to test
,,,0,,0,1045,
55,5,53173,53.173,14559157,14.559157,270.8459448,
55,6,105126,105.126,8906259,8.906259,108.7206164,
55,7,162027,162.027,5671880,5.67188,126.0022992,
55,8,201985,201.985,4171869,4.171869,202.34504,
55,9,254604,254.604,2999444,2.999444,281.3295598,
55,10,314646,314.646,2566857,2.566857,237.3487124,
55,11,372609,372.609,1783039,1.783039,380.6236212,
55,12,427893,427.893,1069260,1.06926,587.4711308,
55,13,479459,479.459,594868,0.594868,759.7851836,
55,14,517159,517.159,86550,0.08655,1000.239889,
,,,,,,,
54,5,231450,231.45,3200495,3.200495,304.2454323,
54,6,284779,284.779,2329876,2.329876,381.5002426,
54,7,343915,343.915,1672652,1.672652,469.7498874,
54,8,385200,385.2,1283194,1.283194,550.7136712,
54,9,434983,434.983,983363,0.983363,617.2538122,
54,10,482275,482.275,753462,0.753462,681.624114,
54,11,535490,535.49,523665,0.523665,764.5826292,
54,12,589747,589.747,384934,0.384934,817.9863283,
54,13,598666,598.666,226863,0.226863,909.1848352,try like 900 maybe
54,14,606320,606.32,226577,0.226577,907.6218334,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,1045,
,,,0,,0,,
,,,0,,0,,
,,,0,,0,,
,,,0,,0,,
,,,0,,0,,
,,,0,,0,,
,,,0,,0,,
,,,0,,0,,
,,,0,,0,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
